video_id,channel_name,title,published_at,view_count,like_count,comment_count
ZPA4x99X8q0,KanalZero,"PIERWSZE ZATRZYMANIA, ŚLEDZTWO, NOWE INFORMACJE WS. ATAKÓW NA TV REPUBLIKA",2026-05-18T15:57:31Z,109240,4854,547
EP3e4b8qb0Y,KanalZero,CO ZAŚPIEWA NATASZA URBAŃSKA?,2026-05-18T14:00:31Z,13846,98,0
aMq6B_2rG2s,KanalZero,JAKĄ DROGĘ MUZYCZNĄ WYBRAĆ?,2026-05-18T13:30:00Z,4905,21,2
LD2Ga7oC3I8,KanalZero,SZYBKA KARIERA I WIELKIE ODKRYCIA NIEMIECKIEGO OSZUSTA | NAUKOWE ZERO,2026-05-18T13:05:10Z,55836,2215,240
4uGX_z-Wp7g,KanalZero,ZIEMKIEWICZ O ATAKU NA TELEWIZJĘ REPUBLIKA,2026-05-18T13:00:13Z,124525,3415,76
9bhP9me8Wsc,KanalZero,JUŻ DZISIAJ W KANALE ZERO!,2026-05-18T12:30:12Z,4453,40,1
xMSzkl6O090,KanalZero,DLA KOGO JEST SZTUKA?,2026-05-18T12:15:15Z,11135,69,1
ohlJ-obNnrw,KanalZero,EUROWIZJA 2026. JAK NAPRAWDĘ TAM BYŁO?,2026-05-18T12:01:27Z,27089,162,14
n7FICva8Qz0,KanalZero,TAJEMNICE TAJWANU,2026-05-18T11:30:38Z,7907,62,2
ayp5evfUT08,KanalZero,"WYRZUCILI EKSPERTÓW, WSTAWILI SWOICH. JAK POLITYCY PRZEJĘLI ZNANĄ SIEĆ BADAWCZĄ",2026-05-18T11:23:02Z,70959,3798,326
COp8OwfYYR8,KanalZero,ROBERT LEWANDOWSKI ŻEGNA SIĘ Z BARCELONĄ. LECH POZNAŃ MISTRZEM POLSKI,2026-05-18T11:06:34Z,34346,782,134
AlLYcgfM94w,KanalZero,KOLEJNY ZAMACH W EUROPIE,2026-05-18T11:00:28Z,12190,475,28
tcpsumI4EUE,KanalZero,CHADA I ZBUKU UKRYWALI SIĘ,2026-05-18T10:40:01Z,4981,41,1
Bb-v8FcmyPw,KanalZero,ALICJA SZEMPLIŃSKA ZROBI KARIERĘ PO EUROWIZJI?,2026-05-18T10:15:01Z,7169,55,5
7Db4Bj1kppU,KanalZero,NAWROCKI SPOTKAŁ SIĘ MELONI,2026-05-18T09:39:44Z,181370,5428,402
Kj5jjcIrow4,KanalZero,"NIEOCZYWISTY TAJWAN: TAJPEJ, ABORYGENI, WYSPA I TUNELE UCIECZKOWE",2026-05-18T09:00:22Z,21722,1131,56
7FVjJfr8It0,KanalZero,KOGO SŁUCHAŁ ZBUKU?,2026-05-18T08:48:20Z,20156,97,6
5J5-7dZnm2M,KanalZero,ZŁOMNIK O CHIŃSKICH AUTACH,2026-05-18T08:01:00Z,10005,68,7
ePYTAY80E7U,KanalZero,ZBIGNIEW BOGUCKI I ROBERT MAZUREK - PORANNE ROZMOWY ZERO,2026-05-18T07:58:35Z,145205,6600,1007
sNCRndYQpsI,KanalZero,5 ZŁ ZA PIERWSZY KONCERT,2026-05-18T07:30:21Z,11188,56,5
xMrbmWnjvtc,KanalZero,7:00: ROBERT MAZUREK & TOMASZ KAMMEL - PORANEK,2026-05-18T07:12:54Z,64884,2423,190
uhG1Lz9Oig8,KanalZero,"ATAK W MODENIE, POLKA W CIĘŻKIM STANIE, PROBLEM EUROPY Z MIGRANTAMI",2026-05-18T07:00:44Z,152391,6151,1271
HP9ojGpNBjo,KanalZero,ZERO ABSOLUTNE #50 - ZBUKU,2026-05-17T20:26:38Z,38078,1146,74
