video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
-0ZGBD3IHKE,Imponderabilia,"Jan Mencwel mówi co się stanie, jeśli wytniemy wszystkie drzewa i zalejemy miasta betonem.",2021-04-28T16:00:14Z,37738,1098,139,PT1H32M51S,5571,22
d_HJJXcECMQ,Imponderabilia,RAU PERFORMANCE: przeżyć meltdown i być jak Makłowicz,2021-04-25T17:00:12Z,108440,2793,182,PT1H51M20S,6680,22
ICRZHDNlJdA,Imponderabilia,"Iga Czubak opowiada jak stworzyła kurczaka, który jest wegański, ale go nie odróżnisz od mięsnego",2021-04-14T16:00:16Z,49073,1278,366,PT1H21M56S,4916,22
DSinHt3COp0,Imponderabilia,Czy warto kupić samochód elektryczny?,2021-04-11T17:00:12Z,47692,803,344,PT2H19M58S,8398,2
9iKMxIqKgNI,Imponderabilia,"Jakub Ćwiek: czy trzeba być przestępcą, by napisać świetny kryminał?",2021-04-07T16:00:15Z,54068,1272,176,PT2H2M52S,7372,22
KF_GgL3tpWI,Imponderabilia,Terlikowski: cnoty i grzechy kościoła.,2021-03-31T16:00:16Z,558577,8142,1503,PT2H20M2S,8402,22
P3PLKybGrl4,Imponderabilia,Kasia Mecinski: czego nigdy nie mówić kobiecie?,2021-03-28T16:00:14Z,77348,2759,448,PT1H38M55S,5935,22
g6PUUo_UHKc,Imponderabilia,"Dmitry Glukhovsky: od Putina i Nawalnego, aż po Finchera i Sapkowskiego",2021-03-24T17:00:15Z,47658,1483,141,PT50M18S,3018,22
clIzz243LzQ,Imponderabilia,Tomasz Raczek opowiada najciekawsze historie o kinie i teatrze,2021-03-21T17:00:15Z,313188,5276,400,PT2H8M34S,7714,22
7ux9gKUB0Wg,Imponderabilia,"Od gier na telefon, po pierwszego polskiego [komercyjnego] satelitę w kosmosie. Damian Fijałkowski",2021-03-17T17:00:17Z,32527,720,78,PT2H23M4S,8584,22
FC6TNMT-_Wc,Imponderabilia,"Kasia Babis: od polskiej fantastyki, do życia wiecznego.",2021-03-14T18:00:15Z,213779,6097,956,PT2H28M25S,8905,22
MCqmIqvevDg,Imponderabilia,"Arkadiusz Jakubik opowiada historię, po której uwierzysz, że dobro powraca.",2021-03-11T17:00:15Z,650400,11098,789,PT2H29M22S,8962,22
