video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
CxREhAhHZP0,Patec,SIÓDMY SZCZYT KORONY ZIEMII,2025-08-30T13:00:24Z,811440,26088,529,PT28M56S,1736,24
g_-lGt50sl8,Patec,Spróbowałem Najtrudniejszego Biegu Na Świecie,2025-08-23T13:01:16Z,871052,27789,446,PT27M54S,1674,24
oLUlhozePpk,Patec,Góra TRUDNIEJSZA od MOUNT EVEREST? | Q&A feat. Oswald Rodrigo Pereira ,2025-08-16T13:01:33Z,343043,10964,195,PT42M59S,2579,24
SL2oHiKfbEA,Patec,BYLIŚMY ŚWIADKAMI TRAGEDII [Denali 2/2],2025-08-09T13:00:48Z,1351850,49159,738,PT1H13M26S,4406,24
0RkMhPXu_CQ,Patec,NAJZIMNIEJSZA GÓRA NA ŚWIECIE (zimniej niż na Mount Everest) [Denali 1/2],2025-08-02T13:00:03Z,1420405,44194,639,PT1H5M53S,3953,24
ts6KmGPr_mc,Patec,"ZWIEDZIŁEM PÓŁ ŚWIATA, ŻEBY TO NAGRAĆ",2025-07-19T13:01:42Z,902454,26959,409,PT1H6M30S,3990,24
-oQjM_Nk6r8,Patec,Spróbowałem NAJDZIWNIEJSZEGO SPORTU,2025-07-05T13:00:03Z,322546,12627,270,PT20M23S,1223,24
Lvrb3VCpY8E,Patec,TEJ GÓRY STRZEGĄ TUBYLCY! (KORONA ZIEMI 5/7),2025-06-28T13:00:46Z,1573953,39903,632,PT53M36S,3216,24
qaMhrLkpcPc,Patec,ZOSTAŁEM ARTYSTĄ!,2025-06-14T13:01:35Z,210181,6990,502,PT17M10S,1030,24
66NPeLnXS_I,Patec,WZIĄŁEM ICH NA STOPA... I TO BYŁ BŁĄD,2025-06-07T13:00:12Z,496023,15276,220,PT29M3S,1743,24
JX8erUO1feU,Patec,to był NAJGORSZY wyjazd mojego życia…,2025-05-31T13:00:30Z,712721,21612,272,PT38M9S,2289,24
n8_gOwhZ8Fo,Patec,WOJNA KUCHENNA NA ISLANDII! (feat. PIOTRULLO),2025-05-24T13:01:24Z,382959,13607,189,PT23M48S,1428,24
HrTUwjJW3fI,Patec,"Nie uwierzysz, że TEN SPORT ISTNEJE…",2025-05-17T13:00:34Z,162971,6508,125,PT15M3S,903,24
rNWzxN3JJ9I,Patec,TARAPATY na Szczycie Kilimanjaro 😥,2025-04-26T13:01:35Z,1115840,30327,610,PT52M54S,3174,24
Jfp-uulzyBA,Patec,Test Jedzenia na Kilimandżaro,2025-04-19T13:00:26Z,1097465,30322,473,PT52M11S,3131,24
ADJ9QTLxhXI,Patec,NIE SŁYSZAŁEŚ O TYM SPORCIE,2025-04-12T13:00:17Z,826395,32344,578,PT25M26S,1526,24
9rCbirBYp-M,Patec,Dostałem Lekcję Pokory...,2025-03-29T14:00:14Z,1032502,41035,628,PT34M36S,2076,24
fsE0BgQYb8Q,Patec,WYPRAWA O KTÓREJ NIE WIEDZIELIŚCIE…,2025-03-22T14:00:48Z,1471398,50979,597,PT51M16S,3076,24
BD1P42CofMU,Patec,24h jako FOTOGRAF DZIKIEJ PRZYRODY,2025-03-15T14:00:14Z,617715,21257,347,PT35M41S,2141,24
vAcCfkt7WVQ,Patec,NAJDROŻSZA WYPRAWA w Moim Życiu,2025-02-15T14:01:08Z,518217,22278,405,PT25M14S,1514,24
uAnlMYHyePs,Patec,Zdobyłem Najwyższy Szczyt Antarktydy,2025-02-08T14:00:59Z,1481708,52709,924,PT46M44S,2804,24
4-6YEeWRSnI,Patec,Jak Zdobyłem Biegun Południowy,2025-02-01T14:00:04Z,1433719,54060,1034,PT1H1M29S,3689,24
qG-Pc3b3Qys,Patec,Odwiedziłem Antarktydę!,2025-01-25T14:00:54Z,1722688,74117,1338,PT50M50S,3050,24
hFq8Huc-mvY,Patec,OSTATNI SPRAWDZIAN (7 dni do Antarktydy),2024-12-06T14:00:45Z,444107,18475,268,PT24M13S,1453,24
Ajh0WhDmdvQ,Patec,Ratujemy INDIANA JONESA! 🗺️ [3/24],2024-12-03T17:00:08Z,38109,1510,22,PT2M7S,127,24
G8MKcrjmSyw,Patec,OBIAD W CHILE ZA 20 ZŁ vs 1000 ZŁ! 🇨🇱 (TEST RESTAURACJI),2024-12-03T14:00:15Z,507064,20383,239,PT19M33S,1173,24
ZK_rz5sxEdA,Patec,"Wyruszyłem w 70 DNIOWĄ PODRÓŻ 🌍 (Chile, Antarktyda i...)",2024-11-30T14:00:26Z,588227,24298,386,PT24M33S,1473,24
R59Okiy74_g,Patec,12 dni do ANTARKTYDY (24h vlog) ❄️,2024-11-23T14:00:32Z,525936,23681,467,PT28M39S,1719,24
pHRXPgkI2CA,Patec,Zrobiłem mu EKSTREMALNĄ Niespodziankę!,2024-11-16T14:00:50Z,217635,8307,168,PT26M51S,1611,24
Vx0oCgiK36A,Patec,Ten kraj ZNIKNIE w ciągu 100 LAT…,2024-10-27T14:02:10Z,804280,19626,351,PT26M44S,1604,24
UpSNYVRdbFY,Patec,Pływam z REKINAMI... (bez klatki) 🦈,2024-10-23T13:00:43Z,727208,18651,260,PT26M43S,1603,24
STCVQEOOXiQ,Patec,Musiałem się WYCOFAĆ...,2024-10-19T13:00:34Z,595850,16908,271,PT26M16S,1576,24
9OOvLWEBRiw,Patec,Odwiedziłem Najbardziej Otyły Kraj na Świecie,2024-10-15T13:14:36Z,1596629,38135,593,PT31M2S,1862,24
89HtbSpRENc,Patec,Poszukiwania lwa na Dzikim Safari 🦁,2024-10-06T13:00:09Z,532833,16590,174,PT27M32S,1652,24
BAQYCU2oA7E,Patec,72H NA BEZLUDNEJ WYSPIE W ZAMBII,2024-10-02T13:00:15Z,1163822,26012,274,PT26M58S,1618,24
W2VWFw-szxQ,Patec,NAPADLI NAS Z MACZETĄ (straciłem 17 000 PLN),2024-09-28T13:00:29Z,908655,27687,417,PT29M42S,1782,24
uustpfHknIs,Patec,UCZĘ SIĘ SURFOWAĆ feat. łatwogang 🏄🌊,2024-09-24T13:01:04Z,699689,19026,307,PT32M37S,1957,24
HH8y-lmATl4,Patec,72H NA DZIKIEJ SAWANNIE 🐘🌿🌅,2024-09-20T13:25:54Z,1191588,24349,370,PT54M6S,3246,24
cc4Glh4IsLg,Patec,NAJWYŻSZY SZCZYT W NAMIBII (40 STOPNI 🥵),2024-09-17T13:00:41Z,1094834,25366,410,PT46M21S,2781,24
1BR7Gm8gJsM,Patec,ŁOWIMY REKINY W POŁUDNIOWEJ AFRYCE 🦈,2024-09-14T13:00:03Z,1396935,37125,595,PT55M14S,3314,24
-7z3buhvAOo,Patec,AFRYKAŃSKI FRYZJER XDDD | REPUBLIKA ŚRODKOWOAFRYKAŃSKA [4/4],2024-08-26T13:00:00Z,575900,27912,377,PT29M24S,1764,24
zbPBOUdoJOc,Patec,AFRYKAŃSKIE PRZYSMAKI: REPUBLIKA ŚRODKOWOAFRYKAŃSKA [3/4],2024-08-23T13:06:00Z,584443,29431,485,PT32M47S,1967,24
R9oQrrtQSgw,Patec,POTRZEBOWALI JEGO KRWI ŻEBY URATOWAĆ ŻYCIE: REPUBLIKA ŚRODKOWOAFRYKAŃSKA [2/4],2024-08-20T13:00:25Z,837956,47548,1049,PT42M58S,2578,24
qMzasexk89g,Patec,Tutaj WOJNA TRWA OD 30 LAT: REPUBLIKA ŚRODKOWOAFRYKAŃSKA [1/4],2024-08-17T13:03:02Z,1553432,63149,997,PT50M52S,3052,24
q5mz6NNvM7k,Patec,TRENING Z MISTRZEM ŚWIATA,2024-08-14T17:11:25Z,374779,18036,324,PT27M25S,1645,24
HhjhcoUbLmg,Patec,"WOJNA KUCHENNA Z AJ THE POLISH AMERICAN (feat. OJWOJTEK, KAROL ZDĘBA)",2024-07-19T17:00:12Z,777165,38265,321,PT21M6S,1266,24
n9Hp1vAdGhY,Patec,ILE KOSZTOWAŁ MOUNT EVEREST? - Q&A,2024-07-10T13:08:48Z,1271905,64024,1077,PT33M35S,2015,24
dQSJuY4di_Y,Patec,ATAK SZCZYTOWY - MOUNT EVEREST [ODCINEK 3/3],2024-06-30T13:00:38Z,3888243,186665,6487,PT1H15M,4500,24
6GHgpeP07q8,Patec,LODOWIEC - MOUNT EVEREST [ODCINEK 2/3],2024-06-22T14:05:06Z,2928471,123316,2154,PT1H2M46S,3766,24
vIPel70T3II,Patec,AKCJA RATUNKOWA - MOUNT EVEREST [ODCINEK 1],2024-06-15T13:01:00Z,4168878,186089,3660,PT1H18M50S,4730,24
KouVLhmOZbk,Patec,"WOJNA KUCHENNA Z ŁATWOGANG (feat. OJWOJTEK, TROMBA, MIXER, PAWBEATS)",2024-03-23T14:00:44Z,856764,37427,631,PT26M35S,1595,24
k2spT-Jbrcs,Patec,OSTATNI SPRAWDZIAN PRZED MOUNT EVEREST,2024-03-09T14:00:36Z,911365,36233,428,PT21M29S,1289,24
IP4vtFUZ6OU,Patec,OBÓZ TRENINGOWY W ALPACH (40 dni do MOUNT EVEREST),2024-03-02T14:00:13Z,571005,31609,245,PT13M25S,805,24
XYFKKHpRcaw,Patec,ODPOWIADAM NA WASZE PYTANIA 🙋‍♂️ - Q&A,2024-02-24T14:00:32Z,329770,16066,214,PT17M7S,1027,24
gLcMOfAqhKc,Patec,JAK WYGLĄDA TRENING NINJA? [NINJA WARRIOR],2024-02-17T14:00:25Z,446033,20166,180,PT23M12S,1392,24
kppEjO3Yi30,Patec,DOSZŁO TUTAJ DO TRAGEDII... (60 dni DO MOUNT EVEREST),2024-02-11T14:00:29Z,863246,34409,352,PT23M40S,1420,24
HEnk5oRFFQ4,Patec,Zostałem HOBBY HORSEREM,2024-02-03T14:00:12Z,394554,22243,1142,PT16M35S,995,24
utDXlcRXSMU,Patec,TRENING z ADAMEM BIELECKIM (70 DNI DO MOUNT EVEREST),2024-01-27T14:00:41Z,909830,36106,446,PT22M14S,1334,24
2y4wO9qRRJc,Patec,"JAK SPOTKALIŚMY ""NEYMARA""?",2024-01-19T14:25:12Z,941348,52486,506,PT23M28S,1408,24
IzBuiwjozDc,Patec,LATAMY nad RIO DE JANEIRO (feat. łatwogang),2024-01-17T14:00:13Z,695734,36199,403,PT16M54S,1014,24
dLGi9ruuMKY,Patec,FRYZJER w FAVELI za 4$,2024-01-15T14:01:07Z,729531,38440,411,PT14M57S,897,24
77pyxFWlFDg,Patec,"LOTKA DECYDUJE, GDZIE LECIMY! (feat. łatwogang)",2024-01-13T14:09:38Z,1049653,55495,378,PT14M27S,867,24
Ntukg8_pXZI,Patec,100 DNI do MOUNT EVEREST! (143 XD),2024-01-06T14:01:57Z,1379973,66310,1157,PT27M29S,1649,24
pvDFcxG6_ks,Patec,TO DOPIERO POCZĄTEK... - PODSUMOWANIE 2023,2023-12-31T14:00:28Z,258015,21470,707,PT20M53S,1253,24
F4zSQ3oDMr4,Patec,DROŻEJ NIŻ ZA GRANICĄ! - JARMARK W KRAKOWIE,2023-12-21T14:01:54Z,282136,11949,250,PT12M31S,751,24
mjFVqo4cIq8,Patec,Praga zawodzi :/ - CZECHY,2023-12-20T14:01:14Z,210372,10115,144,PT14M16S,856,24
jhpMGMBzkGA,Patec,PRZEGRAŁEM TEN CHALLENGE...,2023-12-19T14:00:28Z,232358,11515,234,PT14M29S,869,24
Ka9BgPqIO84,Patec,JARMARK ŚWIĄTECZNY w JASKINI!,2023-12-18T14:00:20Z,210951,11137,133,PT9M58S,598,24
QQGivDGn-H0,Patec,JEDZENIE NA JARMARKU W BELGII… 🫤,2023-12-17T14:00:15Z,309782,14624,265,PT17M54S,1074,24
s4nQeR0B948,Patec,NIE POPEŁNIAJ TEGO BŁĘDU...,2023-12-16T14:00:39Z,336350,17208,243,PT13M23S,803,24
WnVT1Czjqm0,Patec,"7 DNI, 7 PAŃSTW, 7 JARMARKÓW!",2023-12-15T14:00:21Z,454086,24935,440,PT17M39S,1059,24
rnHB-yDUJKA,Patec,Q&A - ŹLE SIĘ PRZYGOTOWAŁEM?,2023-12-13T15:05:09Z,361047,15524,249,PT33M58S,2038,24
3ezu_1GgrQo,Patec,NAJTRUDNIEJSZE WYZWANIE w MOIM ŻYCIU - AMA DABLAM,2023-12-08T14:00:06Z,2166623,115513,2676,PT32M21S,1941,24
GpZYS479Bck,Patec,TO BYŁO TRUDNIEJSZE NIŻ MYŚLELIŚMY...,2023-12-05T14:00:12Z,1409130,52076,738,PT41M8S,2468,24
h1d0PT2O3G8,Patec,MIELIŚMY PIJANEGO KIEROWCE,2023-12-02T14:00:34Z,783015,30252,363,PT32M10S,1930,24
PmvS7C5pb2Q,Patec,FATALNY POCZĄTEK HIMALAJSKICH PRZYGÓD,2023-11-29T14:00:27Z,874298,41731,601,PT31M38S,1898,24
75AVvd7stMU,Patec,SPEŁNIŁEM JEGO MARZENIE!,2023-11-25T14:00:06Z,222261,10281,125,PT15M51S,951,24
YiomGw_Wy7Y,Patec,NAJTAŃSZA vs NAJDROŻSZA RESTAURACJA w KOREI!,2023-11-18T15:33:27Z,1010174,26788,314,PT31M30S,1890,24
